Block,,Address,Description,Type,Bits,Endian Type,Access Mode,Valid for sub-modules,Default,"Constraints, Remarks"
,,,,,,,,,,
MONITORING_OUTPUT_PORT_LOOKUP,rw0,0,,Reg,31:0,Little,RWA,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,rw1,4,,Reg,31:0,Little,RWA,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro2,18,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro3,1C,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro4,20,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro5,24,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro6,28,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro7,2C,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro8,30,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro9,34,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro10,38,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro11,3C,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro12,40,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro13,44,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro14,48,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro15,4C,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro16,50,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro17,54,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro18,58,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro19,5C,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro20,60,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro21,64,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro22,68,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro23,6C,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro24,70,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro25,74,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro26,78,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,ro27,7C,,Reg,31:0,Little,RO,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectAddress,3000,Address for indirect command.,Reg,31:0,Little,RWSI,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectAddress,,Address for indirect command.,Field,31:0,,RWSI,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectWrData,3004,Indirect write data.,Reg,31:0,Little,RWSI,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectWrData,,Indirect write data.,Field,31:0,,RWSI,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectReply,3008,Reply data from indirect read command,Reg,31:0,Little,ROI,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectReply,,Reply data from indirect read command,Field,31:0,,ROI,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectCommand,300C,Indirect command to the indirect access memory,Reg,31:0,Little,RWI,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectTrigger,,Trigger the beginning of an indirect access by setting to '1'. A completion of an indirect operation is marked by the device setting this field to '0'.,Field,0,,RWI,,1'b0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectType,,Type of indirect access: 0 - Write  1 - Read ,Field,4,,RWI,,1'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectCommandStatus,,"Status of the last indirect command. If set to '1', then the last command failed on timeout. This field is valid only when IndirectTrigger is '0'.",Field,8,,RWI,,1'b0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectConfig,3010,Indirect command to the indirect access memory,Reg,31:0,Little,RWI,,32'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectAddressIncrement,,"Address increment with every repeated access, as indicated in IndirectRepeatCount",Field,3:0,,RWI,,4'h1,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectWriteType,,"Type of indirect write: 0 - wait states, 1- transfer acknowledge",Field,4,,RWI,,1'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectTimeout,,Configures a timeout period for IndirectCommand (per single access). Resolution is in clocks.,Field,15:5,,RWI,,11'h0,
MONITORING_OUTPUT_PORT_LOOKUP,IndirectRepeatCount,,"Each write command is executed IndirectRepeatCount number of times.  Every time, the address is incremented by IndirectAddressIncrement. If set to 0 or 1, one operation is performed.",Field,31:16,,RWI,,16'h0,
MONITORING_OUTPUT_PORT_LOOKUP,Bartable,3014,Base address for Indirect access of memory Testmem,Mem,31:0,Little,9:0,,32'h0,
